"job_state","job_category"
AL,Scientist
AZ,Scientist
CA,Scientist
CO,Scientist
CT,Scientist
DC,Scientist
DE,Scientist
FL,Engineer
GA,Scientist
IA,Analyst
IL,Scientist
IN,Analyst
IN,Engineer
KS,Scientist
LA,Analyst
MA,Scientist
MD,Scientist
MI,Scientist
MN,Scientist
MN,Analyst
MO,Scientist
MS,Scientist
NC,Engineer
NC,Scientist
NE,Scientist
NH,Scientist
NH,Engineer
NJ,Scientist
NY,Scientist
OH,Scientist
OK,Scientist
OK,Analyst
OR,Engineer
OR,Scientist
PA,Scientist
Remote,Scientist
Remote,Engineer
RI,Scientist
SC,Scientist
SC,Analyst
TN,Scientist
TX,Scientist
United States,Scientist
UT,Scientist
VA,Scientist
WA,Scientist
WI,Scientist
WV,Scientist
