"industry","avg_max_rev"
Industrial Manufacturing,6833333333
Insurance Carriers,5478125000
Biotech & Pharmaceuticals,5174393939
Insurance Agencies & Brokerages,5166666667
Banks & Credit Unions,4666666667
Internet,4435714286
Architectural & Engineering Services,4008333333
Consumer Products Manufacturing,3666666667
Electrical & Electronic Manufacturing,3503333333
Aerospace & Defense,2553846154
Investment Banking & Asset Management,2428571429
Computer Hardware & Software,2406333333
Research & Development,2200000000
Health Care Services & Hospitals,1560600000
Federal Agencies,1477777778
Staffing & Outsourcing,1207380952
IT Services,852793103
Consulting,806086957
Enterprise Software & Network Solutions,746722222
Lending,366666667
Advertising & Marketing,66153846
